iter	Logloss
0	0.6357016986
1	0.5898224932
2	0.5332181612
3	0.4985144518
4	0.4802760884
5	0.4564490393
6	0.4339356935
7	0.418138226
8	0.4055335011
9	0.3916044215
10	0.3745740896
11	0.3636916095
12	0.3542751428
13	0.3483781915
14	0.340869601
15	0.3367275083
16	0.327979573
17	0.3193766741
18	0.3141033964
19	0.3061978379
20	0.3035966713
21	0.3002996233
22	0.2963185333
23	0.2941589831
24	0.2902979252
25	0.2861105269
26	0.2835795339
27	0.281971964
28	0.2799160884
29	0.276452554
30	0.2734471468
31	0.2696874138
32	0.268369867
33	0.2661643659
34	0.2623968425
35	0.2597655126
36	0.2576910448
37	0.2558288232
38	0.2550682194
39	0.2536271677
40	0.2523026178
41	0.2505686757
42	0.2485884948
43	0.2464788427
44	0.2450117392
45	0.2428690533
46	0.2415997399
47	0.2394708639
48	0.2384529063
49	0.2372056812
50	0.2361224689
51	0.2347272963
52	0.2335918053
53	0.2321670726
54	0.2295921534
55	0.2284750512
56	0.2276216819
57	0.2256355402
58	0.2242831291
59	0.2229969027
60	0.2218964466
61	0.2202691592
62	0.2184519245
63	0.2165561565
64	0.2152969685
65	0.2143192582
66	0.213763998
67	0.2133649002
68	0.2123884217
69	0.211655056
70	0.2103839106
71	0.2089803292
72	0.2078492188
73	0.2068528906
74	0.2058246852
75	0.2046898487
76	0.2038183123
77	0.2027101069
78	0.2012685641
79	0.1997408457
80	0.1988355114
81	0.1979455203
82	0.1973295949
83	0.196633114
84	0.1955595398
85	0.1948652156
86	0.1938944349
87	0.1929459179
88	0.1916286287
89	0.1907329286
90	0.1900335492
91	0.1892715954
92	0.1886066878
93	0.1879509491
94	0.1871706071
95	0.1856681497
96	0.1850652488
97	0.183891132
98	0.1828756781
99	0.1815241466
100	0.1801498722
101	0.1795287033
102	0.1791771815
103	0.1783812927
104	0.1770109186
105	0.1760075495
106	0.1756880337
107	0.1749490136
108	0.1742457859
109	0.1736497881
110	0.1726396071
111	0.1719257804
112	0.1709457177
113	0.1705574238
114	0.1694066819
115	0.1686173667
116	0.1680898232
117	0.1671860548
118	0.1659841228
119	0.1653935548
120	0.1644765852
121	0.163706974
122	0.1626103358
123	0.1619898733
124	0.1592617235
125	0.1587765717
126	0.1582092783
127	0.1571967711
128	0.1564341473
129	0.1554799378
130	0.1549806969
131	0.1545628832
132	0.1538750124
133	0.1531944352
134	0.1525141758
135	0.1520277496
136	0.1515231774
137	0.1507074693
138	0.1499806848
139	0.1493150059
140	0.1489744219
141	0.1481479893
142	0.1469812377
143	0.146406644
144	0.1457354243
145	0.1452493004
146	0.1440154595
147	0.143678834
148	0.1431547415
149	0.1426894847
150	0.1419532914
151	0.141676863
152	0.1409009617
153	0.1404963311
154	0.1398862286
155	0.1392744137
156	0.1388374815
157	0.1383888815
158	0.1378016227
159	0.1362973807
160	0.1356409588
161	0.1352925084
162	0.1347066779
163	0.1340460434
164	0.1334377498
165	0.1329829296
166	0.1313325918
167	0.1306403941
168	0.1298771637
169	0.1292191708
170	0.1287052984
171	0.127494685
172	0.1268540771
173	0.126453902
174	0.1261590367
175	0.1257750839
176	0.1255104873
177	0.1253064333
178	0.1249523309
179	0.1244984382
180	0.1239144997
181	0.1235455735
182	0.1233032603
183	0.1222048355
184	0.1217397148
185	0.1212282785
186	0.1209478969
187	0.1205496783
188	0.1200032926
189	0.1195824347
190	0.1190810597
191	0.1187529876
192	0.1186109227
193	0.1183779603
194	0.1180472034
195	0.1175854067
196	0.1173211315
197	0.1169867665
198	0.1162488578
199	0.1160004114
200	0.1154674375
201	0.1146665814
202	0.1143192536
203	0.1139630938
204	0.1137043424
205	0.1131267246
206	0.1129772034
207	0.1121985601
208	0.1119122086
209	0.1117370139
210	0.1113997043
211	0.1104481299
212	0.109337514
213	0.1083335279
214	0.1074942984
215	0.1068188355
216	0.1064788075
217	0.1053588887
218	0.1047842674
219	0.104477426
220	0.1039552058
221	0.1035464696
222	0.102658613
223	0.1022943372
224	0.102022842
225	0.1014504817
226	0.1008384535
227	0.1005439504
228	0.1001653662
229	0.09941230299
230	0.09932212798
231	0.09897635096
232	0.09890352075
233	0.09864708119
234	0.0983832407
235	0.09815934043
236	0.09771619414
237	0.09759818537
238	0.09703383373
239	0.09679369885
240	0.09645223047
241	0.09590415825
242	0.09570880198
243	0.09557782486
244	0.09513521765
245	0.09483470962
246	0.0946177367
247	0.09441762144
248	0.09429853392
249	0.09396253007
250	0.09376625244
251	0.09353417045
252	0.09339660082
253	0.09318332364
254	0.09286609345
255	0.09240413782
256	0.09201988445
257	0.09147606476
258	0.09131700404
259	0.09102206275
260	0.09057186734
261	0.09037053127
262	0.09015524183
263	0.08957399935
264	0.08893791471
265	0.08869404104
266	0.08856495564
267	0.08828722273
268	0.08811421343
269	0.08789261439
270	0.08770053902
271	0.08727587135
272	0.08695995733
273	0.0868064027
274	0.08645149232
275	0.0863261649
276	0.08603107597
277	0.08577894272
278	0.08545925741
279	0.08526386852
280	0.08502013999
281	0.08473487628
282	0.08449640252
283	0.08420673734
284	0.08380810479
285	0.08350965212
286	0.08313563086
287	0.08302640498
288	0.08281762689
289	0.0825417703
290	0.08231073666
291	0.082223144
292	0.0820538391
293	0.08159510348
294	0.08125465033
295	0.08100500023
296	0.08090543686
297	0.08078978683
298	0.08069431627
299	0.0802709522
